à,at; in; to; with
numéro (n.m.) [téléphone],phone number
numéro de téléphone (n.m.),phone number
Nymphéas,Water Lilies
O.K.,O.K.
Obélisque (n.pr.f.),Obelisk
obélisque (n.m.),obelisk
objectif (n.m.),aim; objective; intention; lens
objet (n.m.),object
obligation (n.f.),obligation; bond
obligatoire,compulsory; obligatory
obligatoirement,necessarily
obligé,obliged
obliger (v.),force; oblige
obscur,obscure; dark
obscurité (n.f.),darkness
observer (v.),watch; observe; notice
obsolète,obsolete
obstacle (n.m.),obstacle
obtenir (v.),obtain; get
occasion (n.f.),opportunity; occasion; chance
occasion de,chance to; opportunity to
occasionnel,occasional; casual
occasionner (v.),cause; bring about
Occident (n.pr.m.),the West
occitan (n.m.),Provençal French
occupation (n.f.),occupation
occupé,busy; occupied; engaged
occuper (v.),occupy; take up; hold
océan (n.m.),ocean
océan Atlantique (n.m.),Atlantic Ocean
océan Indien (n.m.),Indian Ocean
océan Pacifique (n.m.),Pacific Ocean
Océanie,Oceania
octet (n.m.),byte
octobre (n.m.),October
octroyer (v.),grant
oculiste (double genre),ophtalmologist; oculist
Odes,Odes
odeur (n.f.),smell
odorant,odorous
Oedipe (n.pr.),Oedipus
oeil (n.m.),eye
oenologie (n.f.),oenology
oeuf (n.m.),egg
oeuf brouillé (n.m.),scrambled egg
oeuf dur (n.m.),hard-boiled egg
oeuf sur le plat (n.m.),fried egg
oeuvre (n.f.),work; task; deed
oeuvre d'art (n.f.),work of art
office (n.m.),office; agency
office du tourisme (n.m.),tourist office
officiel,official
officier (n.m.),officer
officier (v.),officiate
offre (n.f.),offer
offrir (v.),offer; give
oh,oh
oh là là,dear oh dear
oignon (n.m.),onion
oignon blanc (n.m.),spring onion
oiseau (n.m.),bird
olfactif,olfactory
olive (n.f.),olive
olympique,Olympic
ombre (n.f.),shadow
omelette (n.f.),omelette (UK); omelet (US)
omettre (v.),leave out; omit
on,one; we
on dirait,it looks like
on dirait que,it looks as if
oncle (n.m.),uncle
ongle (n.m.),nail
onze,eleven
onzième,eleventh
opéra (n.m.),opera
Opéra Bastille (n.pr.m.),The Bastille Opera House
opérateur (n.m.),operator
opération (n.f.),operation; transaction; process
opérer (v.),operate on; carry out
opérette (n.f.),operetta
ophtalmologiste (double genre),ophthalmologist
ophtalmologue (double genre),ophthalmologist
opinion (n.f.),opinion
opportunité (n.f.),opportunity
opposant (n.m.),opponent
opposé,opposite; wrong
opter (v.),decide on; opt for
opticien (n.m.),optician
optimisé,optimize
optimiste,optimistic
option (n.f.),option
optionnel,optional
opulence (n.f.),opulence
or (n.m.),gold
or,well; but
orage (n.m.),thunderstorm
oral,oral; verbal
orange (n.f.),orange
orange,orange [adjective]
orangé,orange-coloured (UK); orange-colored (US)
orchestre (n.m.),stalls (UK); parquet (US); orchestra
ordinaire,ordinary
ordinateur (n.m.),computer
ordonnance (n.f.),prescription
ordonner (v.),order; tell
ordre (n.m.),order; nature
ordre de grandeur,give a rough estimate
oreille (n.f.),ear
oreiller (n.m.),pillow
organe (n.m.),organ
organisateur (n.m.),organizer
organisation (n.f.),arranging; organization
organisé,organized
organiser (v.),organize; arrange
organisme (n.m.),organism; body; system; organization
orgue (n.m.),organ
Orient-Express,Orient-Express
orientation (n.f.),sense of direction
orienter (v.),position; adjust; direct; orient
originaire,originate from; be a native of; original
original,original
original (n.m.),original
originalité (n.f.),originality
origine (n.f.),origin; source; beginning
Orléans (n.pr.),Orléans
Orly (n.pr.),Orly airport
ornement (n.m.),embellishment; ornament
orner (v.),decorate
Orsay (n.pr.),Orsay
orteil (n.m.),toe
orthographe (n.f.),spelling
orthographier (v.),spell
oser (v.),dare
Oslo (n.pr.),Oslo
ostréiculture (n.f.),oyster farming
Otto von Spreckelsen (n.pr.),Otto von Spreckelsen
ou,or
où,where; that
ou bien,or even
où ça,where
oubli (n.m.),forgetting
oublier (v.),forget
oubliette (n.f.),oubliette; dungeon
ouest (n.m.),west
ouf,phew
ouh là là,dear oh dear
oui,yes
ouille,ow; ouch
ouragan (n.m.),hurricane
ours (n.m.),bear
outil (n.m.),tool
outre,besides; as well as
outré,outraged
outre-mer (n.f.),overseas
outsider (n.m.),outsider
ouvert,open
ouverture (n.f.),opening
ouvrage (n.m.),work; product
ouvre-bouteille (n.m.),bottle-opener
ouvrier,worker
ouvrir (v.),open
ovale,oval
Oxford Street (n.pr.),Oxford Street
oxygène (n.m.),oxygen
P.-D.G. (président-directeur général) (n.m.),boss; president; Chief Executive Officer
P.V. (procès verbal) (n.m.),fine
Pablo Picasso (n.pr.),Pablo Picasso
Pacifique (n.pr.m.),the Pacific (Ocean)
Pacifique Sud (n.pr.m.),South Pacific
paella (n.f.),paella
page (n.f.),page
paiement (n.m.),payment
paiement partiel (n.m.),part payment
paille (n.f.),straw
pain (n.m.),bread
pain au chocolat (n.m.),sweet roll with chocolate filling
pain au lait (n.m.),sweet roll; bun
pain complet (n.m.),wholemeal bread
pain de campagne (n.m.),farmhouse loaf
pain de seigle (n.m.),rye bread
paire (n.f.),pair; brace; yoke; set
paisible,peaceful
paisiblement,peacefully
paix (n.f.),peace
palace (n.m.),luxury hotel
palais (n.m.),palace
palais de Westminster (n.m.),Westminster Palace
Palais des congrès (n.m.),Palais des congrès
pale (n.f.),blade
pâle,pale
palme (n.f.),flipper; palm
Palme d'or (n.f.),French cinema award
palmier (n.m.),palm tree
pamplemousse (n.m.),grapefruit
panaché (n.m.),shandy
pandoro (n.m.),pandoro
panier (n.m.),basket
panique (n.f.),panic
paniquer (v.),panic
panne (n.f.),breakdown; failure
panneau (n.m.),sign; panel
panorama (n.m.),overview; panorama
pansement (n.m.),dressing; bandage
pantalon (n.m.),trousers (UK); pants (US)
Panthéon (n.pr.m.),the Pantheon
panthère (n.f.),panther
pantoufle (n.f.),slipper
papa (n.m.),dad; daddy
paparazzi (n.m.pl.),paparazzi
pape (n.m.),pope
Pape du surréalisme (n.m.),The pope of surrealism
papeterie (n.f.),stationer's (shop); stationery
papi (n.m.),granddad; grandpa
papier (n.m.),paper
papier à lettres (n.m.),writing paper; notepaper
papier cadeau (n.m.),wrapping paper
papier peint (n.m.),wallpaper
papier pelure (n.m.),airmail paper; onionskin paper
papillon (n.m.) [nage],butterfly (stroke)
papillon (n.m.) [insecte],butterfly
paquebot (n.m.),liner
Pâques (n.pr.f.),Easter
paquet (n.m.),packet; parcel
par,by; on; through
par ailleurs,otherwise; furthermore; moreover
par avance,advance; lead
par avion,aeroplane (UK); airplane (US); plane; by airmail
par chance,by chance; luckily
par coeur,by heart
par conséquent,consequently
par contre,on the other hand
par courrier,by post
par curiosité,by curiosity
par-derrière,behind; from behind
par-devant,round the front
par écrit,in writing
par effraction,breaking and entering
par exemple,for example; for instance
par exprès,express; by express
par hasard,by (any) chance
par la suite,after that; then
par le biais de,through; by means of
par l'intermédiaire de,through somebody; through something
par personne,per person
par rapport à,compared with; in comparison to
par terre,on the floor; on the ground
parachutage (n.m.),airdrop
parachute (n.m.),parachute
parachutisme (n.m.),parachuting
paradis (n.m.),paradise
paraître (v.),seem; appear
paraître (v.) (+ être),be published; appear
paramètre (n.m.),parameter; setting; factor
parapente (n.m.),paraglider; paragliding
parapluie (n.m.),umbrella
parasol (n.m.),sunshade; parasol
paravent (n.m.),partition screen
parc (n.m.),park
parc des affaires (n.m.),business park
parc des expositions,exhibition; trade fair
parce que,because
parcourir (v.),cover; skim through; glance through; scan
parcours (n.m.),route; course
parcours du combattant (n.m.),obstacle course; assault course
pardon,sorry; pardon; excuse me
pardonner (v.),pardon; excuse; forgive
paré,ready; all set; prepared
pare-brise (n.m.),windscreen (UK); windshield (US)
pare-chocs (n.m.),bumper
pareil,such (a); the same; similar
parents (n.m.pl.),parents
paresse (n.f.),laziness; sloth
paresseux,lazy [adjective]
paresseux (n.m.),lazy
parfait,perfect
parfaitement,very well; perfectly; verify
parfois,sometimes
parfum (n.m.),perfume; scent; flavour (UK); flavor (US)
parfumer (v.),perfume; scent
parfumerie (n.f.),perfumery; perfume shop
parier (v.),bet
Paris (n.pr.),Paris
Paris Saint-Germain (n.pr.m.),Paris Saint-Germain
Parisien (n.m.),Parisian
parisien,Parisian
parking (n.m.),car park (UK); parking lot (US)
parlé,spoken
parlement (n.m.),parliament
parler (v.),talk; speak
parler (n.m.),speech; dialect
parler de la pluie et du beau temps,talk about the weather
parmi,among
paroi (n.f.),partition; wall
parole (n.f.),word; speech; speak
Paroles,Paroles; Words
parquet (n.m.),parquet floor
part (n.f.),piece; portion; share; part
partager (v.),share
partenaire (double genre),partner
parterre (n.m.),flowerbed; stalls (UK); orchestra (US)
parti,party
participant (n.m.),participant
participer (v.),participate; share; take part
particulier (n.m.),private individual
particulièrement,particularly; especially
partie (n.f.),part; game
partiel,partial
partir (v.) (+ être),leave; go
partition (n.f.),partition
partout,all over; everywhere
parvenir (v.) (+ être),reach; send; manage to
pas,no; not
pas (n.m.),pace; step
pas du tout,not at all
pas encore,not yet
pas mal,not bad; not badly
pas mal de,quite a lot of
pas plus,no more
pas que je sache,not that I know of
pas question,no way; out of the question
Pascal Obispo (n.pr.),Pascal Obispo
passable,average; fair; passable
passage (n.m.),passage; crossing; way; alley
passage clouté (n.m.),pedestrian crossing (UK); crosswalk (US)
passage souterrain (n.m.),underground passage
passager (n.m.),passenger
passant (n.m.),passer-by
passe (n.f.),pass
passé (n.m.),past
passe-plat (n.m.),serving hatch
passeport (n.m.),passport
passer (v.),pass; move on; spend; put through
passer (v.) (+ être),pass; come before; go by; move on
passer commande,place an order
passer inaperçu,go unnoticed
passer les menottes,handcuff somebody
passer pour,be regarded as
passer une commande,place an order
passerelle (n.f.),gangway; footbridge
passif (n.m.),liabilities
passion (n.f.),passion
passionné,passionate; impassioned
passionné (n.m.),passionate person; fanatic
passionner (v.),grip; fascinate
pastel (n.m.),pastel
pastèque (n.f.),watermelon
pastille (n.f.),pastille; lozenge
pastis (n.m.),aniseed-flavoured aperitif
pâte (n.f.),pasta; pastry; dough
pâté (n.m.),pâté
pâte brisée (n.f.),short pastry
pâte d'amande (n.f.),almond paste
patiemment,patiently
patience (n.f.),patience
patient,patient [adjective]
patient (n.m.),patient
patienter (v.),wait; hold
patin à roulettes (n.m.)   r,oller skate
patinage (n.m.),figure skating
patinoire (n.f.),skating rink
pâtisserie (n.f.),pastry
pâtissier (n.m.),confectioner
patrie (n.f.),country; homeland
patrimoine (n.m.),inheritance; patrimony; heritage
patron (n.m.),boss; manager; owner
patte (n.f.),leg; limb; foot
Paul Cézanne (n.pr.),Paul Cézanne
Paul Claudel (n.pr.),Paul Claudel
pause (n.f.),stop; break; pause
pause-déjeuner (n.f.),lunch break
pauvre,poor
pavillon (n.m.),detached house
payant,paying
paye (n.f.),pay; wages
payement (n.m.),payment
payer (v.),pay
pays (n.m.),country
Pays-Bas (n.pr.m.),The Low Country; Netherlands
Pays basque (n.pr.m.),Basque country
Pays-de-la-Loire (n.pr.),Pays-de-la-Loire
paysage (n.m.),landscape
péage (n.m.),tollbooth; toll
peau (n.f.),skin
pêche (n.f.) [activité],fishing; catch
pêche (n.f.) [fruit],peach
pêche à la ligne (n.f.),angling
pêcher (v.),fish
pêcheur (n.m.),fisherman
pédale (n.f.),pedal
pédestre,hike; ramble
peigne (n.m.),comb
peignoir (n.m.),dressing gown (UK); robe (US)
peindre (v.),paint
peine (n.f.),effort; sorrow; trouble
peintre (double genre),painter
peinture (n.f.),paint; painting
Pékin (n.pr.),Peking; Beijing
peler (v.),peel
pelle (n.f.),spade
pellicule (n.f.),skin; film
pelote (n.f.),pelota
pelote de laine (n.f.),ball of wool
pelouse (n.f.),lawn
peluche (n.f.),soft toy; plush
pelure (n.f.),peel; skin
pénaliser (v.),penalize
pendant,during; for
pendant ce temps,meanwhile
pendant que,while
pendre (v.),hang
pénétration (n.f.),penetration
pénétrer (v.),enter; penetrate
pénible,hard; tiresome; painful; sad
péniche (n.f.),barge
péninsule (n.f.),peninsula
pensée (n.f.),thought
penser (v.),think
pensif,thoughtful
pension (n.f.),pension; board and lodgings; boarding school;
pension complète (n.f.),full board
pente (n.f.),slope
pépin (n.m.),pip
pépite (n.f.),chip; nugget
percer (v.),pierce; come through; burst; emerge
perche (n.f.),ski tow; button lift
percussion (n.f.),percussion
perdant (n.m.),loser
perdre (v.),lose; waste
perdu,lost
père (n.m.),father
Père Noël (n.pr.m.),Father Christmas (UK); Santa Claus (US)
pérennité (n.f.),durability
perfection (n.f.),perfection
perfectionné,advanced
perforer (v.),punch
performance (n.f.),performance
performant,high-performance; efficient; successful; impressive
péril (n.m.),peril; danger
périlleux,perilous
périmé,out-of-date; expired
période (n.f.),period
période d'essai (n.f.),try-out; trial period
périodique,periodic
périphérique (n.m.),ring road (UK); circular route (US)
périple (n.m.),journey; voyage
périssable,perishable
permanent,permanent
permettre (v.),permit; allow
permis de conduire (n.m.),driving licence (UK); driver's license (US)
permission (n.f.),permission
permuter (v.),change; switch; permute
perpétuer (v.),perpetuate
perplexe,perplexed
Perrache (n.pr.),Perrache
perruque (n.f.),wig
persévérer (v.),persevere
persil (n.m.),parsley
persister (v.),persist; continue
personnage (n.m.),character
personnaliser (v.),add a personal touch; customize
personne (n.f.),person; people
personne,nobody; no one
personnel (n.m.),staff; personnel
personnel,personal; private
personnel de bord (n.m.),flight crew; flight staff
personnellement,personally
perspective (n.f.),perspective
persuader (v.),persuade; convince
persuasion (n.f.),persuasion
perte (n.f.),loss
pertinent,pertinent
perturbation (n.f.),disturbance
perturber (v.),disturb; disrupt
pesanteur (n.f.),gravity; heaviness; dullness
pèse-personne (n.m.),scales
peser (v.),weigh
pessimiste,pessimistic
pétanque (n.f.),bowls
pétillant,sparkling
petit,small [adjective]; little [adjective]
petit (n.m.),child baby
petit ami (n.m.),boyfriend
petit déjeuner (n.m.),breakfast
petit-fils (n.m.),grandson
petit pain (n.m.),bread roll
petit pois (n.m.),pea
petits-enfants (n.m.pl.),grandchildren
pétrir (v.),knead
pétrole (n.m.),oil
peu,little; few
peu de,not much; not many; few; little
peu importe,never mind; it doesn't matter
peuple (n.m.),people
peut-être,perhaps; maybe
pharaon (n.m.),pharaoh
phare (n.m.),headlight; lighthouse
pharmacie (n.f.),chemist's (UK); drugstore (US)
pharmacien (n.m.),chemist (UK); druggist (US)
phénomène (n.m.),phenomenon
Philippe II (n.pr.),Philippe II
philosophe (double genre),philosopher
philosophie (n.f.),philosophy
philosophique,philosophical
phoque (n.m.),seal
photo (n.f.),photograph; photo
photo d'identité (n.f.),passport photograph
photocopie (n.f.),photocopy
photocopieur (n.m.),photocopier
photographe (double genre),photographer
photographie (n.f.),photography
photographier (v.),take a photo
phrase (n.f.),sentence; phrase
physicien (n.m.),physicist
physique (n.f.),physics
physique,physical
piano (n.m.),piano
pianotement (n.m.),tinkle on the piano; drum one's fingers
Piccadilly Circus (n.pr.),Piccadilly Circus
pickpocket (n.m.),pickpocket
pie (n.f.),magpie
pièce (n.f.) [monnaie],coin
pièce (n.f.) [élément],piece; unit
pièce (n.f.) [théâtre],play
pièce (n.f.) [lieu],room
pièce d'identité (n.f.),proof of identity; ID
pièce musicale (n.f.),piece of music
pied (n.m.),foot
pied de vigne (n.m.),vinestock
piège (n.m.),trap
pierre (n.f.),stone
Pierre Cardin (n.pr.),Pierre Cardin
Pierre Curie (n.pr.),Pierre Curie
piéton (n.m.),pedestrian
pieuvre (n.f.),octopus
pigeon (n.m.),pigeon
pigeon voyageur (n.m.) &lt;pigeons,carrier pigeon
voyageurs&gt;,
pile [batterie],battery
pile,dead; sharp; right; on cue
pile (n.f.) [tas],pile
piler (v.),crush; grind
pilote (double genre),pilot; driver
pilote de ligne (n.m.),airline pilot
piloter (v.),drive; pilot
pilule (n.f.),pill
piment (n.m.),hot pepper
pimenter (v.),put chillies; spice
pin (n.m.),pine
pinceau (n.m.),brush
pincer (v.),pinch
pinède (n.f.),pine forest
ping-pong (n.m.),table tennis
pingouin (n.m.),auk; penguin
piolet (n.m.),ice axe
piquant,spicy; hot
piqué,worm-eaten; spotted
pique-nique (n.m.),picnic
piquer (v.),sting; inject; stick; prick
piqûre (n.f.),injection
pirate (n.m.),pirate
le pire,the worst
pire,worse; worst
pirogue (n.f.),pirogue; dugout
pisciculture (n.f.),fish farming; pisciculture
piscine (n.f.),swimming pool
pistache (n.f.),pistachio
piste (n.f.),runway; ski run
piste cyclable (n.f.),cycle track
pisteur (n.m.),ski slope maintenance man; ski patrolman
piton (n.m.),piton
pittoresque,picturesque
pizza (n.f.),pizza
pizzeria (n.f.),pizzeria
placard (n.m.),cupboard (UK); closet (US)
place (n.f.) [lieu public],square
place (n.f.) [endroit],place; seat
place (n.f.) [emploi],job; position
placé,put; placed; seated; invested
place assise (n.f.),seat
place de la Concorde (n.f.),Concorde square
place de la Révolution (n.f.),Revolution square
place de l'Etoile (n.f.),place de l'Etoile
place du Vieux Marché (n.f.),Old Market square
place Wagram (n.f.),Wagram square
placement (n.m.),investment
placer (v.),put; place; seat; invest
plage (n.f.) [mer],beach
